Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Position
Cade Cunningham,DET,23,28,13,15,35.9,24.0,9.0,20.0,44.7,2.4,6.6,36.2,3.6,4.5,80.3,1.0,5.7,6.7,9.7,4.4,0.8,0.9,2.8,47.1,16,6,-1.4,Guard
Donovan Mitchell,CLE,28,31,27,4,31.5,23.6,8.4,18.3,45.8,3.8,9.3,41.3,3.0,3.7,81.0,0.5,4.1,4.6,4.6,2.1,1.5,0.3,2.0,39.4,2,0,8.4,Guard
LeBron James,LAL,40,28,16,12,35.0,23.5,9.0,18.1,49.6,2.0,5.6,35.7,3.5,4.6,76.7,1.0,6.9,7.9,9.0,3.9,0.8,0.6,1.3,46.8,15,8,-3.7,Forward
RJ Barrett,TOR,24,27,6,21,34.1,23.4,8.5,18.5,45.9,1.9,5.6,34.4,4.5,6.2,72.6,0.9,5.9,6.8,6.2,3.4,0.7,0.4,2.5,40.7,7,2,-3.9,Forward-Guard
Zion Williamson,NOP,24,6,2,4,31.1,22.7,7.8,17.3,45.2,0.3,1.0,33.3,6.7,10.0,66.7,2.7,5.3,8.0,5.3,3.7,0.7,1.2,3.0,42.1,3,0,-2.3,Forward
Joel Embiid,PHI,30,10,5,5,28.7,22.4,7.1,16.3,43.6,1.2,4.2,28.6,7.0,7.5,93.3,1.5,5.3,6.8,3.9,3.2,1.0,1.1,2.3,39.5,2,0,-1.7,Center-Forward
Brandon Ingram,NOP,27,18,5,13,33.1,22.2,8.6,18.5,46.5,2.4,6.4,37.4,2.6,3.1,85.5,0.9,4.6,5.6,5.2,3.8,0.9,0.6,2.5,37.3,0,0,-7.1,Forward
James Harden,LAC,35,31,19,12,34.2,22.1,6.3,16.1,39.2,2.9,8.3,34.8,6.6,7.4,89.1,0.6,5.6,6.2,8.0,4.8,1.5,0.6,2.1,43.0,12,1,2.8,Guard
Stephen Curry,GSW,36,26,12,14,31.2,22.0,7.3,16.7,43.7,4.2,10.5,40.1,3.2,3.5,92.3,0.5,4.3,4.7,6.4,3.1,1.2,0.5,1.1,39.3,4,0,5.2,Guard
Trae Young,ATL,26,31,17,14,36.0,22.0,6.7,16.8,39.7,2.8,8.5,33.6,5.8,6.6,87.9,0.6,3.0,3.6,12.1,4.5,1.3,0.2,2.1,44.5,23,0,2.5,Guard
Zach LaVine,CHI,29,28,13,15,33.4,22.0,7.9,15.8,49.9,3.3,7.4,44.7,3.0,3.6,81.4,0.2,4.4,4.6,4.3,3.0,0.8,0.3,1.7,34.2,1,0,-0.6,Guard
Jaren Jackson Jr.,MEM,25,31,21,10,28.2,21.6,7.7,15.7,49.2,1.8,5.1,34.8,4.4,5.3,81.8,1.4,4.5,5.9,1.8,2.1,1.5,1.7,3.2,38.8,1,0,7.7,Forward-Center
CJ McCollum,NOP,33,20,3,17,33.7,21.4,8.2,18.7,44.0,2.9,8.2,34.8,2.2,3.1,70.5,0.8,3.1,3.9,4.1,1.8,1.1,0.5,2.5,35.0,0,0,-7.0,Guard
Brandon Miller,CHA,22,23,6,17,34.5,21.4,7.4,18.6,40.0,3.9,11.0,35.2,2.7,3.0,89.7,0.9,4.2,5.1,3.7,2.8,1.1,0.7,2.7,35.7,2,0,-4.6,Forward
Jordan Poole,WAS,25,26,5,21,31.6,21.3,6.9,15.9,43.2,3.5,8.7,40.7,4.0,4.8,84.0,0.3,2.3,2.7,5.0,3.5,1.6,0.5,3.4,35.0,0,0,-9.4,Guard
Jalen Williams,OKC,23,31,26,5,32.2,21.2,8.4,17.5,47.9,1.9,5.2,35.8,2.6,3.3,81.2,1.0,4.9,5.9,5.1,2.3,1.7,0.7,2.6,41.1,3,0,6.4,Guard-Forward
Ja Morant,MEM,25,20,14,6,27.7,21.2,7.1,15.7,45.4,1.6,4.8,32.3,5.5,6.5,83.8,0.7,3.8,4.4,7.9,3.8,1.1,0.4,1.6,39.0,7,1,7.6,Guard
